;Y_UTM;X_UTM;ZoneNumber;ZoneLetter;Latitude;Longitude;past_mer;Y;X;SiO2;TiO2;Al2O3;Fe2O3;FeO;MnO;MgO;CaO;Na2O;K2O;P2O5;l.i.;oth;sum;hs;type_granite;time;massif;sampler;others;sampler+year;area
45;-354416700,1;-86056731,29;1;W;"50°12'0.0""";"112°39'0.0""";;50,19988719;112,6498872;77,1146757;0,069741955;11,75650095;0,577861911;0,787087775;0,009963136;0,209225864;0,288930955;3,038756601;5,878250473;0,059778818;0,199262728;0,009963136;100;0,01;Granite leucocratic;J1-J2;;;0th:so3-tr.;I.I.Kozyrev,1968;1
46;-354198413,6;-128350573,6;1;W;"50°56'0.0""";"113°18'0.0""";;50,93340246;113,3000691;77,48523376;0,230253279;13,06437081;0,620682751;0,210231254;0,010011012;0,660726799;0,38041846;5,596155771;1,211332466;0,010011012;0,510561618;0,010011012;100;0,01;Granite leucocratic;J2-J3;;V.Petrikovetz;;A.I.Shevtsov,1967;1
49;-361805168,8;-199837177;1;W;"52°6'50.0""";"115°58'0.0""";;52,11378671;115,9665645;77,26909236;0,119952019;11,8952419;0,849660136;0,699720112;0,019992003;0,039984006;0,399840064;3,108756497;4,948020792;0,039984006;0,599760096;0,009996002;100;0,01;Granite leucocratic alkaline porphyraceous;J3;Zangan massif;D.M.Shuster;;V.A.Ulanov,1961;1
51;-354759039,1;-137189162,6;1;W;"51°5'0.0""";"113°33'0.0""";;51,08328951;113,5499562;77,45913968;0,070189512;11,93221699;0,200541462;1,373709014;0,050135365;0,360974632;0,220595608;2,677228517;5,153915572;0,020054146;0,471272436;0,010027073;100;0,01;Granite fine-grained;J3;Kalangin massif;D.M.Shust er;;E.V.Barabashev,1961;1
55;-362529843,2;-279113453,6;1;W;"53°35'30.0""";"118°31'50.0""";;53,59177437;118,5306633;76,80827778;0,07959407;11,4416476;0,73624515;1,571982887;0,009949259;0,119391105;0,218883693;4,427420157;4,377673863;0,039797035;0,15918814;0,009949259;100;0,01;Granite alkaline;J3;;N.A.Lebedeva;;S.P.Smelovsky,1968;1
56;-346993136,3;-92694092,01;1;W;"50°23'0.0""";"111°37'0.0""";;50,38328657;111,6166199;77,04132561;0,009982032;12,39768417;0,289478938;0,628868038;0,019964065;0,279496906;0,539029746;4,691555201;3,673387902;0,079856259;0,309443003;0,039928129;100;0,1;Granite coarse-grained;J2;;L.A.Kuznetsova;Oth:S03-0.04;T.G.Deuli,1940;1
59;-314428255,9;-142609478,9;1;W;"51°45'30.0""";"107°35'0.0""";;51,75835194;107,5833519;76,66467899;0,079507056;12,94971179;0,695686742;0,298151461;0,029815146;0,039753528;0,477042338;3,110713576;5,346849533;0,019876764;0,09938382;0,188829259;100;0,01;Leucogranite;Tr;Western massif;;Oth.:S03-0.19;D.V.Trunev,1961;1
60;-346229844,1;-206640981,9;1;W;"52°30'30.0""";"114°2'0.0""";;52,50829956;114,0332996;77,04754295;0,129844187;12,9844187;0,499400719;1,038753496;0,019976029;0,079904115;0,269676388;2,297243308;4,194966041;0,029964043;1,398322014;0,009988014;100;0,01;Granite;Tr;;N.ALebedeva;;A.A.Matlashov,1969;1
61;-353191760,3;-218359157;1;W;"52°36'30.0""";"115°19'30.0""";;52,60834445;115,3250111;77,20176141;0,150120096;11,05884708;0,860688551;2,181745396;0,030024019;0,090072058;0,120096077;3,302642114;4,553642914;0,040032026;0,400320256;0,010008006;100;0,01;Granite alkaline;J3;Dolutur massif;L.S.Voronova;;R.V.Tsoy,1961;1
65;-341470681,3;-270161731,2;1;W;"53°53'40.0""";"115°39'0.0""";;53,89425249;115,649808;77,11542308;0,200040008;11,38227646;1,270254051;1,140228046;0,040008002;0,160032006;0,050010002;4,200840168;4,100820164;0,010002;0,320064013;0,010002;100;0,01;Granite alkaline;Tr-J;Kontalakan-Marektin massif;N.P.Mel'nikova;;V.S.Ivanov,1968;1
70;-360460615,1;-46143731,7;1;W;"49°30'0.0""";"113°6'0.0""";;49,49992258;113,0999226;77,38047409;0,231016472;12,15347529;0,713137806;1,797910808;0,050220972;0,301325834;1,335877863;3,013258337;2,711932503;0,010044194;0,291281639;0,010044194;100;0,01;Granite;J;Bayan-Dunulin massif;;;Tochtokh,1974;1
73;-326302006,9;-173197822,5;1;W;"52°11'40.0""";"110°13'30.0""";;52,19447613;110,2250317;76,65207006;0,039808917;10,97730892;1,492834395;0,42794586;0,009952229;0,119426752;0,557324841;3,98089172;5,075636943;0,009952229;0,646894904;0,009952229;100;0,05;Granite-porphyry;Tr-J;;;;D.V.Trunev,1962;1
76;-352570536,1;-135685300,3;1;W;"51°5'0.0""";"113°12'0.0""";;51,08332663;113,1999933;76,84630739;0,149700599;11,37724551;0,239520958;1,427145709;0,02994012;0,349301397;0,329341317;4,441117764;4,530938124;0,01996008;0,249500998;0,00998004;100;0,01;Granite coarse-grained miarolic;J3;;MI.Merkul'eva;;E.T.Bubnov,1964;1
77;-333114359,6;-95895361,23;1;W;"50°35'0.0""";"109°31'0.0""";;50,58329888;109,5166322;77,03622173;0,170102061;12,38743246;0,50030018;0,720432259;0,020012007;0,100060036;0,420252151;4,102461477;4,002401441;0,040024014;0,490294177;0,010006004;100;0,01;Granite;Tr;;R.T.Vyatkina;;E.M.Bagadaev,1969;1
84;-348729640,6;-202715551,6;1;W;"52°23'15.0""";"114°15'40.0""";;52,38733238;114,2609435;76,92922831;0,109956018;12,24510196;0,339864054;1,079568173;0,009996002;0,219912035;0,279888045;2,299080368;5,797680928;0,049980008;0,629748101;0,009996002;100;0,01;Granite-porphyry;J3;;V.I.Zhigalova;;E.A.Zaykov,1970;1
87;-329763884,1;-230304112,9;1;W;"53°19'30.0""";"112°36'0.0""";;53,3248159;112,5998159;77,0655984;0,060090135;12,12819229;0,010015023;0,961442163;0,010015023;0,150225338;0,180270406;3,955933901;4,46670005;0,330495744;0,67100651;0,010015023;100;0,01;Granite fine-grained;Tr;;V.P.Usacheva;;V.A.Slipchenko,1966;1
88;-361857366,4;-199891073,1;1;W;"52°6'50.0""";"115°58'30.0""";;52,11393598;115,9750471;77,18928679;0,130404253;12,27806199;0,381181663;1,25388705;0,020062193;0,200621928;0,822549905;3,540977029;3,781723342;0,040124386;0,351088374;0,010031096;100;0,01;Granite leucocratic;J3;Zangan massif;N.A.Ogneva;;V.A.Gulin,1964;1
95;-361857524,6;-199887969,6;1;W;"52°6'50.0""";"115°58'30.0""";;52,11387672;115,9749878;77,35640278;0,050296751;11,79961774;0,60356101;1,156825269;0,0201187;0,140830902;0,573382959;3,218992053;4,627301076;0,040237401;0,402374007;0,01005935;100;0,01;Granite leucocratic subalkaline;J3;Zangan massif;N.A.Ogneva;;V.A.Gulin,1964;1
103;-333564350;-223976389,4;1;W;"53°6'30.0""";"112°52'40.0""";;53,10816892;112,8776134;76,84231577;0,059994001;12,22877712;0,009999;0,869913009;0,009999;0,049995;0,179982002;3,579642036;5,209479052;0,299970003;0,649935006;0,009999;100;0,01;Granite;Tr;;V.P.Usacheva;;L.F.Oekhtereva,1964;1
104;-373005108,8;-237880191,6;1;W;"52°37'0.0""";"118°29'0.0""";;52,61668842;118,4833551;77,21061093;0,090434084;11,61575563;0,190916399;0,904340836;0,030144695;0,251205788;0,904340836;3,014469453;5,024115756;0,070337621;0,683279743;0,010048232;100;0,01;Granite leucogranitic;J2;;D.M.Shuster;;A.I.Shadrin,1962;1
106;-367267611,6;-233078727,2;1;W;"52°37'50.0""";"117°36'30.0""";;52,63066604;117,6084438;76,96083342;0,130221376;14,09395973;0,210357608;0,200340579;0,010017029;0,050085145;1,05178804;3,185415206;3,726334769;0,050085145;0,320544926;0,010017029;100;0,01;Granite leucocratic;Tr;;S.T.Balyuk;;P.G.Belik,1948;1
123;-362053038,5;-201428943,4;1;W;"52°8'20.0""";"116°2'30.0""";;52,1389102;116,041688;76,77374162;0,120084059;11,90833584;1,330931652;1,180826579;0,02001401;0,360252177;0,290203142;3,232262584;4,583208246;0,050035025;0,140098069;0,010007005;100;0,01;Granite alkaline;J3;Zangan massif;N.A.Ogneva;;V.A.Gulin,1964;1
124;-321274690,9;-196826542,4;1;W;"52°47'20.0""";"110°14'10.0""";;52,78898031;110,2362025;76,78446291;0,19020923;12,69396336;0,090099109;0,640704775;0,010011012;0,14015417;0,510561618;3,303633997;5,005506057;0,180198218;0,440484533;0,010011012;100;0,01;Granite leucocratic;Tr-J;;;;N.P.Mikhno,1966;1
126;-361944788,3;-199972820,4;1;W;"52°6'50.0""";"115°59'20.0""";;52,11403009;115,9890301;76,7;0,15;12;0,88;1,2;0,03;0,38;0,7;2,8;4,1;0,05;1;0,01;100;0,01;Granite leucocratic;J3;Zangan massif;N.A.Ogneva;;V.A.Gulin,1964;1
127;-333886433,1;-40644313,69;1;W;"49°35'0.0""";"108°53'0.0""";;49,58342077;108,8834208;77,25624496;0,100725222;12,18775181;0,614423852;1,228847703;0,020145044;0,453263497;0,453263497;4,029008864;3,40451249;0,090652699;0,151087832;0,010072522;100;0,01;Granite leucogranitic;J2;;N.A.Ogneva;;N.P.Kostyakov,1963;1
135;-353800596,8;-145836586,5;1;W;"51°15'0.0""";"113°35'0.0""";;51,24994923;113,5832826;76,94469537;0,170631336;11,833785;0,080297099;1,656127672;0,020074275;0,552042557;0,883268092;3,713740841;3,462812406;0,050185687;0,622302519;0,010037137;100;0,01;Bt granite medium-grained;J1-J2;;V.I.Nikitina;;P.I.Kovalev,1968;1
136;-361945458,9;-199959673,7;1;W;"52°6'50.0""";"115°59'20.0""";;52,11377912;115,9887791;76,66533307;0,150030006;12,4024805;0,620124025;0,800160032;0,020004001;0,090018004;0,300060012;3,440688138;4,860972194;0,040008002;0,600120024;0,010002;100;0,01;Granite leucocratic subalkaline;J3;Zangan massif;N.A.Ogneva;;V.A.Gulin,1964;1
138;-323184543,2;-134362242,1;1;W;"51°27'10.0""";"108°44'20.0""";;51,45289389;108,739005;76,80433039;0,100240577;12,21932638;0,882117081;0,611467522;0,060144346;0,360866079;0,44105854;3,378107458;4,781475541;0,010024058;0,280673617;0,070168404;100;0,01;Morion-granite;Tr-J;Krasyukova;;Oth.:so3-0.07;A.K.Izvekov,1968;1
139;-346056984,7;-221858240,2;1;W;"52°48'40.0""";"114°28'50.0""";;52,8110872;114,4805316;76,6559936;0,14008405;11,88713228;0,820492295;1,400840504;0,020012007;0,070042025;0,11006604;4,102461477;4,502701621;0,020012007;0,260156094;0,010006004;100;0,01;Granite alkaline;Tr-J;;;;S.P.Smelovsky,1968;1
140;-355347903,9;-214432264,4;1;W;"52°29'40.0""";"115°29'50.0""";;52,49454904;115,4973268;76,15828196;0,139192682;11,32431895;1,610658183;1,531119507;0,019884669;0,08948101;0,208789024;3,897395108;4,79220521;0,019884669;0,198846689;0,009942334;100;0,01;Granite alkaline;J3;;L.S.Voronova;;R.V.Tsoy,1961;1
141;-366672819,4;-222046484,1;1;W;"52°26'20.0""";"117°12'55.0""";;52,43898985;117,2153787;76,24925343;0,059725264;12,74138961;0,049771053;0,79633685;0,019908421;0,129404738;0,995421063;4,340035835;4,41966952;0,089587896;0,099542106;0,009954211;100;0,01;Granite leucocratic;Tr;;O.M.Shirokova;;V.Yu.Shenfil,1961;1
142;-353438084,5;-219389769,7;1;W;"52°37'25.0""";"115°23'20.0""";;52,62361272;115,3888905;76,24925343;0,218992634;12,52239697;0,029862632;1,503085805;0,019908421;0,179175791;0,089587896;3,852279514;5,106510054;0,019908421;0,199084213;0,009954211;100;0,01;Granite alkaline;J3;;L.S.Voronova;;R.V.Tsoy,1961;1
146;-358420920;-118628707,4;1;W;"50°43'0.0""";"113°45'0.0""";;50,71650291;113,7498362;76,67968359;0,100130169;13,71783318;0,250325423;0,931210574;0,050065085;0,160208271;0,280364474;4,405727446;2,703514569;0,100130169;0,610794032;0,010013017;100;0,01;Two mica granite pegmatoid;J3;Sakhanay massif;O.S.Beloborod'ko;;N.N.Chaban,1967;1
147;-342318463,1;-224972905,3;1;W;"52°56'50.0""";"114°5'0.0""";;52,94732933;114,0834404;76,56468706;0,069986003;12,21755649;0,49990002;1,469706059;0,039992002;0,309938012;0,469906019;4,049190162;4,149170166;0,049990002;0,099980004;0,009998;100;0,01;Aplite;J2-J3;Yakhakta massif;;;A.A.Matlashov,1969;1
151;-339126822;-73392183,81;1;W;"50°7'0.0""";"110°7'0.0""";;50,11665043;110,1166504;76,36381769;0,229380672;12,34666401;0,668195871;1,116984143;0,049865364;0,279246036;0,448788272;3,011867957;5,066320933;0,049865364;0,359030617;0,009973073;100;0,04;Granite leucocratic porphyraceous;J2;;S.V.Potapova;;Zh.N.Rudakova,1967;1
153;-314125129,9;-142497605,2;1;W;"51°45'40.0""";"107°32'0.0""";;51,76093844;107,5331607;76,27017334;0,009962144;13,30942419;0,199242877;0,747160789;0,019924288;0,328750747;0,64753935;2,86909743;5,389519825;0,039848575;0,099621439;0,069735007;100;0,01;Granite;Tr;;;Oth.:S03-0.07;D.V.Trunev,1961;1
154;-341379855;-272062452,4;1;W;"53°56'10.0""";"115°43'0.0""";;53,93620334;115,7167589;76,56765677;0,110011001;12,08120812;0,480048005;1,940194019;0,020002;0,360036004;0,610061006;4,100410041;3,500350035;0,050005001;0,170017002;0,010001;100;0,01;Granite;Tr-J;Kontalak massif;N.A.Lebedeva;;V.S.Ivanov,1968;1
155;-341556212,1;-89682602,74;1;W;"50°23'0.0""";"110°44'0.0""";;50,38325777;110,7332578;76,31342837;0,11962915;12,590968;0,757651281;1,216229688;0,029907287;0,079752766;0,478516599;4,097298375;4,097298375;0,009969096;0,199381916;0,009969096;100;0,28;Granite leucocratic;J2;;E.G.lvanova;;L.A.Kozubova,1957;1
168;-355338523,2;-197163650,2;1;W;"52°10'10.0""";"115°0'50.0""";;52,16935536;115,0137998;76,08911876;0,198925801;12,46270141;0,377959021;1,919633977;0,01989258;0,0994629;0,208872091;3,690073603;3,879053113;0,04973145;0,994629003;0,00994629;100;0,01;Granite subalkaline;Tr-J;;N.A.Ogneva;;S.K.Ushakov,1962;1
175;-341201113;-272246165,6;1;W;"53°56'40.0""";"115°42'10.0""";;53,9443979;115,7027312;76,58424267;0,110121133;12,29352288;0,680748824;1,181299429;0,040044048;0,240264291;0,440484533;3,954349785;4,104514966;0,020022024;0,340374412;0,010011012;100;0,01;Granite alkaline;Tr-J;Kontalak massif;L.E.Fedoseeva;;V.S.Ivanov,1968;1
176;-339968339,3;-265525279,9;1;W;"53°50'0.0""";"115°16'40.0""";;53,83332577;115,2777702;76,70710919;0,050135365;11,99237942;0,832247067;0,641732678;0,020054146;0,310839266;0,210568535;5,013536549;3,870450216;0,010027073;0,330893412;0,010027073;100;0,01;Granite alkaline;Tr-J;Upper-Talachin massif;VIZhigalova;;V.A.Popeko,1967;1
177;-351764642,6;-141620197,7;1;W;"51°12'0.0""";"113°12'0.0""";;51,20012028;113,2001203;76,36254741;0,199640647;12,0682771;0,329407067;1,397484528;0,019964065;0,389299261;0,928329008;3,79317229;3,79317229;0,059892194;0,648832102;0,009982032;100;0,01;Granite porphyraceous;J3;;VIZhigalova;;E.T.Bubnov,1964;1
178;-355206961,9;-89451733,09;1;W;"50°15'0.0""";"112°49'0.0""";;50,25022807;112,8168947;76,3678115;0,079872204;11,85103834;0,479233227;1,517571885;0,029952077;0,08985623;0,978434505;2,975239617;5,221645367;0,039936102;0,35942492;0,009984026;100;0,36;Granite;J1-J2;;;;V.K.Borovkov,1968;1
185;-353127640,9;-216421448,1;1;W;"52°34'20.0""";"115°15'30.0""";;52,57234239;115,2584535;76,29215725;0,199560966;12,84174815;1,16743165;0,997804829;0,039912193;0,239473159;0,179604869;1,925763321;4,839353422;0,029934145;1,237277988;0,009978048;100;0,01;Granite-porphyry leucogranitic;J3;Dolutur massif;N.I.Ogneva;;A.M.Strelov,1959;1
186;-337076985,2;-71430204,99;1;W;"50°6'0.0""";"109°46'0.0""";;50,09995893;109,7666256;76,12267251;0,099571841;11,67977696;0,348501444;1,493577616;0,029871552;0,079657473;0,607388231;3,813601513;5,347007866;0,029871552;0,33854426;0,009957184;100;0,01;Amf-Bt granite medium-grained;Tr;;D.M.Shuster;;E.T.Bubnov,1961;1
191;-350673087,7;-137151666,7;1;W;"51°8'0.0""";"112°57'0.0""";;51,13325684;112,9499235;76,71384121;0,060222824;13,09846432;0,341262672;0,752785306;0,020074275;0,060222824;0,602228245;3,041252635;5,159088628;0,04014855;0,100371374;0,010037137;100;0,01;Morion-granite;J3;Olenguy massif;D.M.Shuster;;E.V.Barabashev,1959;1
193;-325966787,7;-176125650,9;1;W;"52°15'40.0""";"110°15'40.0""";;52,26102845;110,2610285;76,07245944;0,617099632;11,05802727;0,617099632;0,885836568;0,02985966;0,76639793;1,005275207;4,130586245;4,48890216;0,039812879;0,278690156;0,00995322;100;0,12;Granite-porphyry;Tr-J;;;;V.I.Pelepyagin,1975;1
199;-326829327,4;-224537024,6;1;W;"53°16'0.0""";"111°59'30.0""";;53,26682225;111,9918223;76,10319753;0,089650364;11,70435302;2,081880665;0,498057575;0,009961152;0,109572667;0,348640303;4,233489391;4,502440482;0,009961152;0,298834545;0,009961152;100;0,03;Granite-porphyry;J;;E.A.Kotlyarova;;E.E.Zelensky,1974;1
200;-354993048,1;-74449954,48;1;W;"50°0'0.0""";"112°35'0.0""";;49,9999942;112,5833275;75,95188389;0,099413461;12,58574411;0,099413461;2,286509593;0,019882692;0,149120191;0,596480763;3,141465354;4,722139378;0,039765384;0,298240382;0,009941346;100;0,01;Granite-porphyry;J3;Kharalgin massif;L.S.Voronova;;N.K.Dmitrochenko,1962;1
201;-343298958,7;-281808795,8;1;W;"54°5'35.0""";"116°21'10.0""";;54,09287236;116,3525946;76,57612509;0,060138318;12,17800942;0,711636765;1,29297384;0,030069159;0,20046106;0,280645485;4,109451739;4,209682269;0,020046106;0,320737697;0,010023053;100;0,01;Granite leucocratic alkaline;Tr-J;;V.I.Zhigalova;;S.P.Smelovsky,1968;1
203;-341275313,7;-183027200,9;1;W;"52°8'0.0""";"112°40'0.0""";;52,1332357;112,666569;76,83797647;0,120687921;13,75842301;0,31177713;1,106305944;0,03017198;0,331891783;0,583324952;2,504274364;4,274363874;0,050286634;0,080458614;0,010057327;100;0,01;Granite;J1;Arachin massif;U.M.Samochernova;;V.P.Kuznetsov,1959;1
204;-342917549,6;-46209495,51;1;W;"49°37'0.0""";"110°23'0.0""";;49,61662731;110,383294;76,29318953;0,099860196;12,15298582;0,139804274;1,87737168;0,019972039;0,369482724;0,419412822;3,165568205;4,90313561;0,029958059;0,519273018;0,00998602;100;0,01;Leucogranite;J2;;N.A.Ogneva;;P.I.Taraban'ko,1960;1
211;-334320848,4;-49412717,41;1;W;"49°44'0.0""";"109°3'0.0""";;49,73344673;109,0501134;76,5974521;0,190590832;11,64610292;0,39121276;2,11656134;0,030093289;0,160497542;0,812518808;3,37044839;4,614304343;0,050155482;0,010031096;0,010031096;100;0,01;Granite leucogranitic medium-grained;J2;;N.A.Lebedeva;;N.P.Kostyakov,1966;1
212;-341288835,4;-270096454,6;1;W;"53°53'50.0""";"115°37'30.0""";;53,89727664;115,6250544;76,41348944;0,240168118;11,85830081;1,250875613;1,721204843;0,04002802;0,160112078;0,170119083;3,65255679;4,202942059;0,010007005;0,270189132;0,010007005;100;0,01;Granite alkaline;Tr-J;Kontalakan-Marektin massif;L.E.Fedoseeva;;V.S.Ivanov,1968;1
213;-353127219,1;-216427485,6;1;W;"52°34'20.0""";"115°15'30.0""";;52,57246579;115,2585769;76,56673017;0,220595608;12,25308332;1,082923895;1,143086333;0,050135365;0,190514389;0,120324877;3,008121929;4,642534844;0,020054146;0,691868044;0,010027073;100;0,01;Granite-porphyry alkaline leucogranitic;J3;Dolutur massif;;;A.M.Strelov,1959;1
214;-337751224,7;-74579670,71;1;W;"50°9'0.0""";"109°55'0.0""";;50,1499985;109,9166652;76,29896083;0,079936051;12,87969624;0,299760192;1,57873701;0,029976019;0,239808153;0,159872102;4,446442846;3,896882494;0,029976019;0,049960032;0,009992006;100;0,01;Granite leucocratic;J3;;N.A.Lebedeva;;V.P.Krasnov,1969;1
218;-353441174,5;-148347502,3;1;W;"51°18'0.0""";"113°35'0.0""";;51,29987005;113,5832034;76,10169492;0,149551346;11,73479561;0,039880359;2,283150548;0,019940179;0,548354935;0,847457627;4,496510469;3,389830508;0,049850449;0,329012961;0,00997009;100;0,01;Granite(granodiorite);J3;Sypchugur massif;V.I.Nikitina;;P.I.Kovalev,1968;1
220;-341186357,1;-262125144,1;1;W;"53°44'0.0""";"115°17'30.0""";;53,73341557;115,2917489;76,099312;0,069797587;12,18466447;0,767773457;0,707946954;0,019942168;0,239306013;0,38887227;4,556785323;4,686409413;0,019942168;0,249277096;0,009971084;100;0,01;Granite leucocratic alkaline;Tr-J;Zimov'e massif;U.M.Ader;;V.A.Popeko,1968;1
223;-357258943,2;-116955352,4;1;W;"50°42'0.0""";"113°33'0.0""";;50,70013849;113,5501385;75,88264545;0,099453008;12,11337643;0,726006962;0,994530085;0,029835903;0,11934361;0,666335157;3,033316758;5,967180507;0,059671805;0,298359025;0,009945301;100;0,01;Bt granite porphyraceous fine-medium-grained;J3;Duldurgin massif;O.S.Beloborod'ko;;N.N.Chaban,1966;1
228;-349695890,9;-140142260,8;1;W;"51°12'0.0""";"112°52'0.0""";;51,19983181;112,8664985;76,71425699;0,050271466;13,26161271;0,150814398;1,186406596;0,020108586;0,170922984;0,452443193;3,338025337;4,45405188;0,010054293;0,180977277;0,010054293;100;0,01;Granite leucocratic fine-grained;J3;Olenguy massif;O.MShirokova;;E.V.Barabashev,1959;1
230;-340786296,1;-261269348,5;1;W;"53°43'30.0""";"115°12'30.0""";;53,72498385;115,2083172;76,37929308;0,100130169;11,50495644;0,811054371;1,151496946;0,040052068;0,240312406;0,730950235;4,055271853;4,726143987;0,050065085;0,200260338;0,010013017;100;0,01;Granite subalkaline;Tr-J;Zimov'e massif;A.I.Federova;;V.A.Popeko,1967;1
233;-324892737,9;-104147934,9;1;W;"50°50'0.0""";"108°22'0.0""";;50,83342712;108,3667605;76,45112782;0,130325815;12,48120301;0,912280702;0,571428571;0,020050125;0,070175439;0,320802005;4,110275689;4,711779449;0,010025063;0,200501253;0,010025063;100;0,01;Bt granite fine-grained;Tr-J;Totkhotoy massif;L.S.Voronova;;V.Ya.Ilchenko,1967;1
